name,label,concept,predicateType,group,limit,attributes,required
B05002_007E,Estimate!!Total!!Native!!Born in other state in the United States!!South,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_007EA,B05002_007M,B05002_007MA",NA
B05002_008E,Estimate!!Total!!Native!!Born in other state in the United States!!West,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_008EA,B05002_008M,B05002_008MA",NA
B05002_009E,Estimate!!Total!!Native!!Born outside the United States,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_009EA,B05002_009M,B05002_009MA",NA
B05002_010E,Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_010EA,B05002_010M,B05002_010MA",NA
B05002_011E,Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_011EA,B05002_011M,B05002_011MA",NA
B05002_012E,Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s),PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_012EA,B05002_012M,B05002_012MA",NA
B05002_013E,Estimate!!Total!!Foreign born,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_013EA,B05002_013M,B05002_013MA",NA
B05002_014E,Estimate!!Total!!Foreign born!!Naturalized U.S. citizen,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_014EA,B05002_014M,B05002_014MA",NA
B05002_015E,Estimate!!Total!!Foreign born!!Not a U.S. citizen,PLACE OF BIRTH BY CITIZENSHIP STATUS,int,B05002,0,"B05002_015EA,B05002_015M,B05002_015MA",NA
B05010_001E,Estimate!!Total,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_001EA,B05010_001M,B05010_001MA",NA
B05010_002E,Estimate!!Total!!Under 1.00,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_002EA,B05010_002M,B05010_002MA",NA
B05010_003E,Estimate!!Total!!Under 1.00!!Living with two parents,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_003EA,B05010_003M,B05010_003MA",NA
B05010_004E,Estimate!!Total!!Under 1.00!!Living with two parents!!Both parents native,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_004EA,B05010_004M,B05010_004MA",NA
B05010_005E,Estimate!!Total!!Under 1.00!!Living with two parents!!Both parents foreign born,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_005EA,B05010_005M,B05010_005MA",NA
B05010_006E,Estimate!!Total!!Under 1.00!!Living with two parents!!One native and one foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_006EA,B05010_006M,B05010_006MA",NA
B05010_007E,Estimate!!Total!!Under 1.00!!Living with one parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_007EA,B05010_007M,B05010_007MA",NA
B05010_008E,Estimate!!Total!!Under 1.00!!Living with one parent!!Native parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_008EA,B05010_008M,B05010_008MA",NA
B05010_009E,Estimate!!Total!!Under 1.00!!Living with one parent!!Foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_009EA,B05010_009M,B05010_009MA",NA
B05010_010E,Estimate!!Total!!1.00 to 1.99,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_010EA,B05010_010M,B05010_010MA",NA
B05010_011E,Estimate!!Total!!1.00 to 1.99!!Living with two parents,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_011EA,B05010_011M,B05010_011MA",NA
B05010_012E,Estimate!!Total!!1.00 to 1.99!!Living with two parents!!Both parents native,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_012EA,B05010_012M,B05010_012MA",NA
B05010_013E,Estimate!!Total!!1.00 to 1.99!!Living with two parents!!Both parents foreign born,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_013EA,B05010_013M,B05010_013MA",NA
B05010_014E,Estimate!!Total!!1.00 to 1.99!!Living with two parents!!One native and one foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_014EA,B05010_014M,B05010_014MA",NA
B05010_015E,Estimate!!Total!!1.00 to 1.99!!Living with one parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_015EA,B05010_015M,B05010_015MA",NA
B05010_016E,Estimate!!Total!!1.00 to 1.99!!Living with one parent!!Native parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_016EA,B05010_016M,B05010_016MA",NA
B05010_017E,Estimate!!Total!!1.00 to 1.99!!Living with one parent!!Foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_017EA,B05010_017M,B05010_017MA",NA
B05010_018E,Estimate!!Total!!2.0  and over,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_018EA,B05010_018M,B05010_018MA",NA
B05010_019E,Estimate!!Total!!2.0  and over!!Living with two parents,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_019EA,B05010_019M,B05010_019MA",NA
B05010_020E,Estimate!!Total!!2.0  and over!!Living with two parents!!Both parents native,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_020EA,B05010_020M,B05010_020MA",NA
B05010_021E,Estimate!!Total!!2.0  and over!!Living with two parents!!Both parents foreign born,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_021EA,B05010_021M,B05010_021MA",NA
B05010_022E,Estimate!!Total!!2.0  and over!!Living with two parents!!One native and one foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_022EA,B05010_022M,B05010_022MA",NA
B05010_023E,Estimate!!Total!!2.0  and over!!Living with one parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_023EA,B05010_023M,B05010_023MA",NA
B05010_024E,Estimate!!Total!!2.0  and over!!Living with one parent!!Native parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_024EA,B05010_024M,B05010_024MA",NA
B05010_025E,Estimate!!Total!!2.0  and over!!Living with one parent!!Foreign-born parent,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,int,B05010,0,"B05010_025EA,B05010_025M,B05010_025MA",NA
B08006_001E,Estimate!!Total,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_001EA,B08006_001M,B08006_001MA",NA
B08006_002E,"Estimate!!Total!!Car, truck, or van",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_002EA,B08006_002M,B08006_002MA",NA
B08006_003E,"Estimate!!Total!!Car, truck, or van!!Drove alone",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_003EA,B08006_003M,B08006_003MA",NA
B08006_004E,"Estimate!!Total!!Car, truck, or van!!Carpooled",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_004EA,B08006_004M,B08006_004MA",NA
B08006_005E,"Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_005EA,B08006_005M,B08006_005MA",NA
B08006_006E,"Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_006EA,B08006_006M,B08006_006MA",NA
B08006_007E,"Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_007EA,B08006_007M,B08006_007MA",NA
B08006_008E,Estimate!!Total!!Public transportation (excluding taxicab),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_008EA,B08006_008M,B08006_008MA",NA
B08006_009E,Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_009EA,B08006_009M,B08006_009MA",NA
B08006_010E,Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_010EA,B08006_010M,B08006_010MA",NA
B08006_011E,Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_011EA,B08006_011M,B08006_011MA",NA
B08006_012E,Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_012EA,B08006_012M,B08006_012MA",NA
B08006_013E,Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_013EA,B08006_013M,B08006_013MA",NA
B08006_014E,Estimate!!Total!!Bicycle,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_014EA,B08006_014M,B08006_014MA",NA
B08006_015E,Estimate!!Total!!Walked,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_015EA,B08006_015M,B08006_015MA",NA
B08006_016E,"Estimate!!Total!!Taxicab, motorcycle, or other means",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_016EA,B08006_016M,B08006_016MA",NA
B08006_017E,Estimate!!Total!!Worked at home,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_017EA,B08006_017M,B08006_017MA",NA
B08006_018E,Estimate!!Total!!Male,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_018EA,B08006_018M,B08006_018MA",NA
B08006_019E,"Estimate!!Total!!Male!!Car, truck, or van",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_019EA,B08006_019M,B08006_019MA",NA
B08006_020E,"Estimate!!Total!!Male!!Car, truck, or van!!Drove alone",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_020EA,B08006_020M,B08006_020MA",NA
B08006_021E,"Estimate!!Total!!Male!!Car, truck, or van!!Carpooled",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_021EA,B08006_021M,B08006_021MA",NA
B08006_022E,"Estimate!!Total!!Male!!Car, truck, or van!!Carpooled!!In 2-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_022EA,B08006_022M,B08006_022MA",NA
B08006_023E,"Estimate!!Total!!Male!!Car, truck, or van!!Carpooled!!In 3-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_023EA,B08006_023M,B08006_023MA",NA
B08006_024E,"Estimate!!Total!!Male!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_024EA,B08006_024M,B08006_024MA",NA
B08006_025E,Estimate!!Total!!Male!!Public transportation (excluding taxicab),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_025EA,B08006_025M,B08006_025MA",NA
B08006_026E,Estimate!!Total!!Male!!Public transportation (excluding taxicab)!!Bus or trolley bus,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_026EA,B08006_026M,B08006_026MA",NA
B08006_027E,Estimate!!Total!!Male!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_027EA,B08006_027M,B08006_027MA",NA
B08006_028E,Estimate!!Total!!Male!!Public transportation (excluding taxicab)!!Subway or elevated,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_028EA,B08006_028M,B08006_028MA",NA
B08006_029E,Estimate!!Total!!Male!!Public transportation (excluding taxicab)!!Railroad,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_029EA,B08006_029M,B08006_029MA",NA
B08006_030E,Estimate!!Total!!Male!!Public transportation (excluding taxicab)!!Ferryboat,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_030EA,B08006_030M,B08006_030MA",NA
B08006_031E,Estimate!!Total!!Male!!Bicycle,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_031EA,B08006_031M,B08006_031MA",NA
B08006_032E,Estimate!!Total!!Male!!Walked,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_032EA,B08006_032M,B08006_032MA",NA
B08006_033E,"Estimate!!Total!!Male!!Taxicab, motorcycle, or other means",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_033EA,B08006_033M,B08006_033MA",NA
B08006_034E,Estimate!!Total!!Male!!Worked at home,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_034EA,B08006_034M,B08006_034MA",NA
B08006_035E,Estimate!!Total!!Female,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_035EA,B08006_035M,B08006_035MA",NA
B08006_036E,"Estimate!!Total!!Female!!Car, truck, or van",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_036EA,B08006_036M,B08006_036MA",NA
B08006_037E,"Estimate!!Total!!Female!!Car, truck, or van!!Drove alone",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_037EA,B08006_037M,B08006_037MA",NA
B08006_038E,"Estimate!!Total!!Female!!Car, truck, or van!!Carpooled",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_038EA,B08006_038M,B08006_038MA",NA
B08006_039E,"Estimate!!Total!!Female!!Car, truck, or van!!Carpooled!!In 2-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_039EA,B08006_039M,B08006_039MA",NA
B08006_040E,"Estimate!!Total!!Female!!Car, truck, or van!!Carpooled!!In 3-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_040EA,B08006_040M,B08006_040MA",NA
B08006_041E,"Estimate!!Total!!Female!!Car, truck, or van!!Carpooled!!In 4-or-more-person carpool",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_041EA,B08006_041M,B08006_041MA",NA
B08006_042E,Estimate!!Total!!Female!!Public transportation (excluding taxicab),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_042EA,B08006_042M,B08006_042MA",NA
B08006_043E,Estimate!!Total!!Female!!Public transportation (excluding taxicab)!!Bus or trolley bus,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_043EA,B08006_043M,B08006_043MA",NA
B08006_044E,Estimate!!Total!!Female!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico),SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_044EA,B08006_044M,B08006_044MA",NA
B08006_045E,Estimate!!Total!!Female!!Public transportation (excluding taxicab)!!Subway or elevated,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_045EA,B08006_045M,B08006_045MA",NA
B08006_046E,Estimate!!Total!!Female!!Public transportation (excluding taxicab)!!Railroad,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_046EA,B08006_046M,B08006_046MA",NA
B08006_047E,Estimate!!Total!!Female!!Public transportation (excluding taxicab)!!Ferryboat,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_047EA,B08006_047M,B08006_047MA",NA
B08006_048E,Estimate!!Total!!Female!!Bicycle,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_048EA,B08006_048M,B08006_048MA",NA
B08006_049E,Estimate!!Total!!Female!!Walked,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_049EA,B08006_049M,B08006_049MA",NA
B08006_050E,"Estimate!!Total!!Female!!Taxicab, motorcycle, or other means",SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_050EA,B08006_050M,B08006_050MA",NA
B08006_051E,Estimate!!Total!!Female!!Worked at home,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,int,B08006,0,"B08006_051EA,B08006_051M,B08006_051MA",NA
B08007_001E,Estimate!!Total,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_001EA,B08007_001M,B08007_001MA",NA
B08007_002E,Estimate!!Total!!Worked in state of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_002EA,B08007_002M,B08007_002MA",NA
B08007_003E,Estimate!!Total!!Worked in state of residence!!Worked in county of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_003EA,B08007_003M,B08007_003MA",NA
B08007_004E,Estimate!!Total!!Worked in state of residence!!Worked outside county of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_004EA,B08007_004M,B08007_004MA",NA
B08007_005E,Estimate!!Total!!Worked outside state of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_005EA,B08007_005M,B08007_005MA",NA
B08007_006E,Estimate!!Total!!Male,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_006EA,B08007_006M,B08007_006MA",NA
B08007_007E,Estimate!!Total!!Male!!Worked in state of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_007EA,B08007_007M,B08007_007MA",NA
B08007_008E,Estimate!!Total!!Male!!Worked in state of residence!!Worked in county of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_008EA,B08007_008M,B08007_008MA",NA
B08007_009E,Estimate!!Total!!Male!!Worked in state of residence!!Worked outside county of residence,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,int,B08007,0,"B08007_009EA,B08007_009M,B08007_009MA",NA
